cl,lc,lt,sl,tl,tp,ts
2074,False,8023,1,10,TERM. VL. SÔNIA,CDHU MUNCK
34842,False,8023,2,10,TERM. VL. SÔNIA,CDHU MUNCK
2075,True,8024,1,10,BUTANTÃ,JD. JAQUELINE
34843,True,8024,2,10,BUTANTÃ,JD. JAQUELINE
2076,False,8025,1,10,TERM. VL. SÔNIA,JD. ROSA MARIA
34844,False,8025,2,10,TERM. VL. SÔNIA,JD. ROSA MARIA
2083,False,8026,1,10,TERM. VL. SÔNIA,JD. INGÁ
34851,False,8026,2,10,TERM. VL. SÔNIA,JD. INGÁ
2162,True,8027,1,10,BUTANTÃ,VL. DALVA
34930,True,8027,2,10,BUTANTÃ,VL. DALVA
2532,False,8028,1,10,METRÔ MORUMBI,PARAISÓPOLIS
35300,False,8028,2,10,METRÔ MORUMBI,PARAISÓPOLIS
2540,False,8029,1,10,TERM. MORUMBI,SHOP. PORTAL
35308,False,8029,2,10,TERM. MORUMBI,SHOP. PORTAL
2562,False,8030,1,10,TERM. VL. SÔNIA,PARAISÓPOLIS
35330,False,8030,2,10,TERM. VL. SÔNIA,PARAISÓPOLIS
797,False,8038,1,10,LAPA,PQ. CONTINENTAL
33565,False,8038,2,10,LAPA,PQ. CONTINENTAL
406,False,8040,1,10,TERM. LAPA,SOL NASCENTE
33174,False,8040,2,10,TERM. LAPA,SOL NASCENTE
407,False,8043,1,10,LAPA,HAB. TURÍSTICA
33175,False,8043,2,10,LAPA,HAB. TURÍSTICA
408,False,8047,1,10,LAPA,JARAGUÁ
33176,False,8047,2,10,LAPA,JARAGUÁ
410,False,8047,1,41,METRÔ VL. MADALENA,JARAGUÁ
33178,False,8047,2,41,METRÔ VL. MADALENA,JARAGUÁ
411,False,8047,1,51,LAPA,JARAGUÁ
33179,False,8047,2,51,LAPA,JARAGUÁ
412,False,8050,1,10,LAPA,PQ. MORRO DOCE
33180,False,8050,2,10,LAPA,PQ. MORRO DOCE
413,False,8050,1,21,LAPA,ANHANGUERA
33181,False,8050,2,21,LAPA,ANHANGUERA
415,False,8050,1,31,LAPA,PQ. MORRO DOCE
33183,False,8050,2,31,LAPA,PQ. MORRO DOCE
414,False,8055,1,10,LAPA,PERUS
33182,False,8055,2,10,LAPA,PERUS
417,False,8055,1,51,METRÔ BARRA FUNDA,PERUS
33185,False,8055,2,51,METRÔ BARRA FUNDA,PERUS
124,True,805L,1,10,ACLIMAÇÃO,TERM. PRINC. ISABEL
32892,True,805L,2,10,ACLIMAÇÃO,TERM. PRINC. ISABEL
418,False,8060,1,10,TERM. LAPA,VL. PIAUÍ
33186,False,8060,2,10,TERM. LAPA,VL. PIAUÍ
420,True,8062,1,10,LAPA,PQ. SÃO DOMINGOS
33188,True,8062,2,10,LAPA,PQ. SÃO DOMINGOS
421,False,8065,1,10,LAPA,HAB. TURÍSTICA
33189,False,8065,2,10,LAPA,HAB. TURÍSTICA
2079,False,8072,1,10,METRÔ MORUMBI,PQ. IPÊ
34847,False,8072,2,10,METRÔ MORUMBI,PQ. IPÊ
2081,False,8073,1,10,TERM. VL. SÔNIA,JD. GUARAÚ
34849,False,8073,2,10,TERM. VL. SÔNIA,JD. GUARAÚ
2044,False,8075,1,10,METRÔ BUTANTÃ,TERM. CAMPO LIMPO
34812,False,8075,2,10,METRÔ BUTANTÃ,TERM. CAMPO LIMPO
2537,False,8075,1,21,TERM. VL. SÔNIA,TERM. CAMPO LIMPO
35305,False,8075,2,21,TERM. VL. SÔNIA,TERM. CAMPO LIMPO
2050,False,8077,1,10,TERM. VL. SÔNIA,JD. JOÃO XXIII
34818,False,8077,2,10,TERM. VL. SÔNIA,JD. JOÃO XXIII
2080,True,8078,1,10,HOSP. CAMPO LIMPO,JD. DAS PALMAS
34848,True,8078,2,10,HOSP. CAMPO LIMPO,JD. DAS PALMAS
34668,False,807A,2,10,TERM. STO. AMARO,TERM. CAMPO LIMPO
1900,False,807A,1,10,TERM. STO. AMARO,TERM. CAMPO LIMPO
2058,False,807J,1,10,SHOP. MORUMBI,TERM. CAMPO LIMPO
34826,False,807J,2,10,SHOP. MORUMBI,TERM. CAMPO LIMPO
1916,False,807M,1,10,SHOP. MORUMBI,TERM. CAMPO LIMPO
34684,False,807M,2,10,SHOP. MORUMBI,TERM. CAMPO LIMPO
2099,True,807P,1,10,STO. AMARO,PARAISÓPOLIS
34867,True,807P,2,10,STO. AMARO,PARAISÓPOLIS
35373,False,8082,2,10,METRÔ BUTANTÃ,CID. UNIVERSITÁRIA
2605,False,8082,1,10,METRÔ BUTANTÃ,CID. UNIVERSITÁRIA
2606,False,8083,1,10,METRÔ BUTANTÃ,CID. UNIVERSITÁRIA
35374,False,8083,2,10,METRÔ BUTANTÃ,CID. UNIVERSITÁRIA
2607,True,8084,1,10,CID. UNIVERSITÁRIA,METRÔ BUTANTÃ
35375,True,8084,2,10,CID. UNIVERSITÁRIA,METRÔ BUTANTÃ
2608,True,8085,1,10,CIRCULAR USP,P3
35376,True,8085,2,10,CIRCULAR USP,P3
2621,True,8086,1,10,PINHEIROS,JAGUARÉ
35389,True,8086,2,10,PINHEIROS,JAGUARÉ
2069,False,809A,1,10,TERM. PINHEIROS,JD. D'ABRIL
34837,False,809A,2,10,TERM. PINHEIROS,JD. D'ABRIL
2068,False,809D,1,10,TERM. PINHEIROS,COHAB EDUCANDÁRIO
34836,False,809D,2,10,TERM. PINHEIROS,COHAB EDUCANDÁRIO
2245,False,809H,1,10,LAPA,JD. BOA VISTA
35013,False,809H,2,10,LAPA,JD. BOA VISTA
2066,True,809J,1,10,METRÔ MORUMBI,JD. COLOMBO
34834,True,809J,2,10,METRÔ MORUMBI,JD. COLOMBO
1949,False,809L,1,10,LAPA,CAMPO LIMPO
34717,False,809L,2,10,LAPA,CAMPO LIMPO
2244,False,809N,1,10,LAPA,VL. DALVA
35012,False,809N,2,10,LAPA,VL. DALVA
1891,False,809P,1,10,TERM. PINHEIROS,TERM. CAMPO LIMPO
34659,False,809P,2,10,TERM. PINHEIROS,TERM. CAMPO LIMPO
2067,True,809R,1,10,TERM. PINHEIROS,RIO PEQUENO
34835,True,809R,2,10,TERM. PINHEIROS,RIO PEQUENO
2246,False,809T,1,10,LAPA,COHAB RAPOSO TAVARES
35014,False,809T,2,10,LAPA,COHAB RAPOSO TAVARES
2254,False,809U,1,10,METRÔ BARRA FUNDA,CID. UNIVERSITÁRIA
35022,False,809U,2,10,METRÔ BARRA FUNDA,CID. UNIVERSITÁRIA
2307,False,809U,1,21,METRÔ VILA MADALENA,METRÔ BARRA FUNDA
35075,False,809U,2,21,METRÔ VILA MADALENA,METRÔ BARRA FUNDA
2243,True,809V,1,10,METRÔ - TRIANON - MASP,VL. GOMES
35011,True,809V,2,10,METRÔ - TRIANON - MASP,VL. GOMES
1262,False,8100,1,10,TERM. LAPA,TERM. PIRITUBA
34030,False,8100,2,10,TERM. LAPA,TERM. PIRITUBA
1337,True,817C,1,10,HOSP. DAS CLÍNICAS,LAPA
34105,True,817C,2,10,HOSP. DAS CLÍNICAS,LAPA
805,False,8194,1,10,TERM. CACHOEIRINHA,PERUS
33573,False,8194,2,10,TERM. CACHOEIRINHA,PERUS
807,False,8199,1,10,CEM. VL. NOVA CACHOEIRINHA,PIRITUBA
33575,False,8199,2,10,CEM. VL. NOVA CACHOEIRINHA,PIRITUBA
803,False,819A,1,10,JD. PRIMAVERA,CPTM VL. AURORA
33571,False,819A,2,10,JD. PRIMAVERA,CPTM VL. AURORA
1263,False,8200,1,10,TERM. LAPA,TERM. PIRITUBA
34031,False,8200,2,10,TERM. LAPA,TERM. PIRITUBA
574,False,8215,1,10,PÇA. DO CORREIO,JD. PAULISTANO
33342,False,8215,2,10,PÇA. DO CORREIO,JD. PAULISTANO
1248,True,8252,1,10,LAPA,METRÔ BARRA FUNDA
34016,True,8252,2,10,LAPA,METRÔ BARRA FUNDA
2507,False,8300,1,1,TERM. LAPA,TERM. PIRITUBA
35275,False,8300,2,1,TERM. LAPA,TERM. PIRITUBA
1264,False,8300,1,10,TERM. LAPA,TERM. PIRITUBA
34032,False,8300,2,10,TERM. LAPA,TERM. PIRITUBA
476,True,8319,1,10,SESC POMPÉIA,PQ. CONTINENTAL
33244,True,8319,2,10,SESC POMPÉIA,PQ. CONTINENTAL
1707,False,8319,1,21,PQ. CONTINENTAL,SHOP. VILLA LOBOS
34475,False,8319,2,21,PQ. CONTINENTAL,SHOP. VILLA LOBOS
1265,False,8400,1,10,PÇA. RAMOS DE AZEVEDO,TERM. PIRITUBA
34033,False,8400,2,10,PÇA. RAMOS DE AZEVEDO,TERM. PIRITUBA
422,False,846M,1,10,TERM. PINHEIROS,VL. PIAUÍ
33190,False,846M,2,10,TERM. PINHEIROS,VL. PIAUÍ
1342,False,847J,1,10,JAGUARÉ,CITY JARAGUÁ
34110,False,847J,2,10,JAGUARÉ,CITY JARAGUÁ
2487,True,847J,1,21,CITY JARAGUA,TERM. LAPA
35255,True,847J,2,21,CITY JARAGUA,TERM. LAPA
423,False,847P,1,10,VL. OLÍMPIA,TERM. PIRITUBA
33191,False,847P,2,10,VL. OLÍMPIA,TERM. PIRITUBA
1424,False,847P,1,42,VL. OLÍMPIA,BRASILÂNDIA
34192,False,847P,2,42,VL. OLÍMPIA,BRASILÂNDIA
808,False,848L,1,10,TERM. PIRITUBA,RECANTO DOS HUMILDES
33576,False,848L,2,10,TERM. PIRITUBA,RECANTO DOS HUMILDES
1267,False,8500,1,10,METRÔ BARRA FUNDA,TERM. PIRITUBA
34035,False,8500,2,10,METRÔ BARRA FUNDA,TERM. PIRITUBA
575,False,8528,1,10,PÇA. DO CORREIO,JD. GUARANI
33343,False,8528,2,10,PÇA. DO CORREIO,JD. GUARANI
1359,False,8538,1,10,PÇA. DO CORREIO,FREGUESIA DO Ó
34127,False,8538,2,10,PÇA. DO CORREIO,FREGUESIA DO Ó
1361,False,8542,1,21,TERM. LAPA,BRASILÂNDIA
34129,False,8542,2,21,TERM. LAPA,BRASILÂNDIA
430,False,8544,1,10,PÇA. DO CORREIO,CID. D'ABRIL 3ª GLEBA
33198,False,8544,2,10,PÇA. DO CORREIO,CID. D'ABRIL 3ª GLEBA
1364,False,8545,1,10,METRÔ BARRA FUNDA,PENTEADO
34132,False,8545,2,10,METRÔ BARRA FUNDA,PENTEADO
578,False,8548,1,10,TERM. LAPA,PARADA DE TAIPAS
33346,False,8548,2,10,TERM. LAPA,PARADA DE TAIPAS
580,False,8549,1,10,PÇA. DO CORREIO,TAIPAS
33348,False,8549,2,10,PÇA. DO CORREIO,TAIPAS
1428,False,856R,1,10,SOCORRO,LAPA
34196,False,856R,2,10,SOCORRO,LAPA
1925,False,857A,1,10,METRÔ STA. CRUZ,TERM. CAMPO LIMPO
34693,False,857A,2,10,METRÔ STA. CRUZ,TERM. CAMPO LIMPO
1901,False,857C,1,10,METRÔ CONCEIÇÃO,TERM. CAMPO LIMPO
34669,False,857C,2,10,METRÔ CONCEIÇÃO,TERM. CAMPO LIMPO
1926,False,857P,1,10,PARAÍSO,TERM. CAMPO LIMPO
34694,False,857P,2,10,PARAÍSO,TERM. CAMPO LIMPO
1892,False,857R,1,10,ACLIMAÇÃO,TERM. CAMPO LIMPO
34660,False,857R,2,10,ACLIMAÇÃO,TERM. CAMPO LIMPO
2027,False,857R,1,41,ANA ROSA,EST. HEBRAICA REBOUÇAS
34795,False,857R,2,41,ANA ROSA,EST. HEBRAICA REBOUÇAS
432,False,8594,1,10,PÇA. RAMOS DE AZEVEDO,CID. D'ABRIL 
33200,False,8594,2,10,PÇA. RAMOS DE AZEVEDO,CID. D'ABRIL 
433,False,8594,1,21,PÇA. RAMOS DE AZEVEDO,CID. PIRITUBA
33201,False,8594,2,21,PÇA. RAMOS DE AZEVEDO,CID. PIRITUBA
434,False,8594,1,41,PÇA. RAMOS DE AZEVEDO,COHAB PEDRA VERDE
33202,False,8594,2,41,PÇA. RAMOS DE AZEVEDO,COHAB PEDRA VERDE
1432,False,8600,1,10,LGO. DO PAISSANDÚ,TERM. PIRITUBA
34200,False,8600,2,10,LGO. DO PAISSANDÚ,TERM. PIRITUBA
2054,False,8600,1,22,LGO. DO PAISSANDÚ,VL. IÓRIO
34822,False,8600,2,22,LGO. DO PAISSANDÚ,VL. IÓRIO
1917,False,8605,1,10,TERM. BANDEIRA,TERM. CAMPO LIMPO
34685,False,8605,2,10,TERM. BANDEIRA,TERM. CAMPO LIMPO
2063,False,8610,1,10,TERM. BANDEIRA,JD. PAULO VI
34831,False,8610,2,10,TERM. BANDEIRA,JD. PAULO VI
1339,False,8615,1,10,TERM. PQ. D. PEDRO II,PQ. DA LAPA
34107,False,8615,2,10,TERM. PQ. D. PEDRO II,PQ. DA LAPA
438,False,8622,1,10,PÇA. RAMOS DE AZEVEDO,MORRO DOCE
33206,False,8622,2,10,PÇA. RAMOS DE AZEVEDO,MORRO DOCE
443,False,8677,1,10,LGO. DO PAISSANDÚ,JD. LÍBANO
33211,False,8677,2,10,LGO. DO PAISSANDÚ,JD. LÍBANO
446,False,8686,1,10,LGO. DO PAISSANDÚ,MANGALOT
33214,False,8686,2,10,LGO. DO PAISSANDÚ,MANGALOT
2485,True,8686,1,21,MANGALOT,TERM. LAPA
35253,True,8686,2,21,MANGALOT,TERM. LAPA
2508,False,8700,1,1,PÇA. RAMOS DE AZEVEDO,TERM. CAMPO LIMPO
35276,False,8700,2,1,PÇA. RAMOS DE AZEVEDO,TERM. CAMPO LIMPO
1877,False,8700,1,10,PÇA. RAMOS DE AZEVEDO,TERM. CAMPO LIMPO
34645,False,8700,2,10,PÇA. RAMOS DE AZEVEDO,TERM. CAMPO LIMPO
1982,False,8700,1,21,PÇA. RAMOS DE AZEVEDO,LGO. DO TABOÃO
34750,False,8700,2,21,PÇA. RAMOS DE AZEVEDO,LGO. DO TABOÃO
2509,False,8700,1,24,PÇA. RAMOS DE AZEVEDO,LGO. DO TABOÃO
35277,False,8700,2,24,PÇA. RAMOS DE AZEVEDO,LGO. DO TABOÃO
2072,False,8705,1,10,ANHANGABAÚ,SHOP. CONTINENTAL
34840,False,8705,2,10,ANHANGABAÚ,SHOP. CONTINENTAL
2090,False,8705,1,51,ANHANGABAÚ,PQ. CONTINENTAL
34858,False,8705,2,51,ANHANGABAÚ,PQ. CONTINENTAL
2064,False,8707,1,10,TERM. PRINC. ISABEL,RIO PEQUENO
34832,False,8707,2,10,TERM. PRINC. ISABEL,RIO PEQUENO
2065,True,8707,1,21,BUTANTÃ,RIO PEQUENO
34833,True,8707,2,21,BUTANTÃ,RIO PEQUENO
477,True,874C,1,10,METRÔ - TRIANON - MASP ,PQ. CONTINENTAL
33245,True,874C,2,10,METRÔ - TRIANON - MASP ,PQ. CONTINENTAL
307,False,874T,1,10,LAPA,IPIRANGA
33075,False,874T,2,10,LAPA,IPIRANGA
609,False,875A,1,10,PERDIZES,AEROPORTO
33377,False,875A,2,10,PERDIZES,AEROPORTO
2510,False,875C,1,1,METRÔ STA. CRUZ,TERM. LAPA
35278,False,875C,2,1,METRÔ STA. CRUZ,TERM. LAPA
478,False,875C,1,10,METRÔ STA. CRUZ,TERM. LAPA
33246,False,875C,2,10,METRÔ STA. CRUZ,TERM. LAPA
1340,False,875H,1,10,METRÔ VL. MARIANA,TERM. LAPA
34108,False,875H,2,10,METRÔ VL. MARIANA,TERM. LAPA
1341,False,875P,1,10,METRÔ ANA ROSA,METRÔ BARRA FUNDA
34109,False,875P,2,10,METRÔ ANA ROSA,METRÔ BARRA FUNDA
1381,False,877T,1,10,METRÔ PARAÍSO,VL. ANASTÁCIO
34149,False,877T,2,10,METRÔ PARAÍSO,VL. ANASTÁCIO
454,False,888P,1,10,COHAB TAIPAS,PERUS
33222,False,888P,2,10,COHAB TAIPAS,PERUS
